seasonStartYear,awayTeam,pointsAway,homeTeam,pointsHome,attendance,notes,startET,Arena,datetime,isRegular,game_id,homeTeam_abb,awayTeam_abb,MatchUp,bs_url,pbp_url
2023,Golden State Warriors,118.0,Portland Trail Blazers,114.0,18547.0,,9:00p,Moda Center,2023-12-17,1,375,POR,GSW,GSW@POR,https://www.basketball-reference.com/boxscores/202312170POR.html,https://www.basketball-reference.com/boxscores/pbp/202312170POR.html
2023,Orlando Magic,97.0,Boston Celtics,114.0,19156.0,,3:00p,TD Garden,2023-12-17,1,376,BOS,ORL,ORL@BOS,https://www.basketball-reference.com/boxscores/202312170BOS.html,https://www.basketball-reference.com/boxscores/pbp/202312170BOS.html
2023,Houston Rockets,119.0,Milwaukee Bucks,128.0,17341.0,,7:00p,Fiserv Forum,2023-12-17,1,377,MIL,HOU,HOU@MIL,https://www.basketball-reference.com/boxscores/202312170MIL.html,https://www.basketball-reference.com/boxscores/pbp/202312170MIL.html
2023,New Orleans Pelicans,146.0,San Antonio Spurs,110.0,18354.0,,3:30p,Frost Bank Center,2023-12-17,1,378,SAS,NOP,NOP@SAS,https://www.basketball-reference.com/boxscores/202312170SAS.html,https://www.basketball-reference.com/boxscores/pbp/202312170SAS.html
2023,Washington Wizards,108.0,Phoenix Suns,112.0,17071.0,,8:00p,Footprint Center,2023-12-17,1,379,PHO,WAS,WAS@PHO,https://www.basketball-reference.com/boxscores/202312170PHO.html,https://www.basketball-reference.com/boxscores/pbp/202312170PHO.html
2023,Brooklyn Nets,108.0,Utah Jazz,125.0,18206.0,,9:00p,Delta Center,2023-12-18,1,380,UTA,BRK,BRK@UTA,https://www.basketball-reference.com/boxscores/202312180UTA.html,https://www.basketball-reference.com/boxscores/pbp/202312180UTA.html
2023,New York Knicks,114.0,Los Angeles Lakers,109.0,18997.0,,10:30p,Crypto.com Arena,2023-12-18,1,381,LAL,NYK,NYK@LAL,https://www.basketball-reference.com/boxscores/202312180LAL.html,https://www.basketball-reference.com/boxscores/pbp/202312180LAL.html
2023,Washington Wizards,131.0,Sacramento Kings,143.0,17794.0,,10:00p,Golden 1 Center,2023-12-18,1,382,SAC,WAS,WAS@SAC,https://www.basketball-reference.com/boxscores/202312180SAC.html,https://www.basketball-reference.com/boxscores/pbp/202312180SAC.html
2023,Dallas Mavericks,104.0,Denver Nuggets,130.0,19659.0,,9:00p,Ball Arena,2023-12-18,1,383,DEN,DAL,DAL@DEN,https://www.basketball-reference.com/boxscores/202312180DEN.html,https://www.basketball-reference.com/boxscores/pbp/202312180DEN.html
2023,Detroit Pistons,124.0,Atlanta Hawks,130.0,17664.0,,7:30p,State Farm Arena,2023-12-18,1,384,ATL,DET,DET@ATL,https://www.basketball-reference.com/boxscores/202312180ATL.html,https://www.basketball-reference.com/boxscores/pbp/202312180ATL.html
2023,Charlotte Hornets,99.0,Toronto Raptors,114.0,19288.0,,7:30p,Scotiabank Arena,2023-12-18,1,385,TOR,CHA,CHA@TOR,https://www.basketball-reference.com/boxscores/202312180TOR.html,https://www.basketball-reference.com/boxscores/pbp/202312180TOR.html
2023,Minnesota Timberwolves,112.0,Miami Heat,108.0,19819.0,,7:30p,Kaseya Center,2023-12-18,1,386,MIA,MIN,MIN@MIA,https://www.basketball-reference.com/boxscores/202312180MIA.html,https://www.basketball-reference.com/boxscores/pbp/202312180MIA.html
